figure_id,source_id,owner,title,expected_period,detected_period,period_assessment,landing_page,exact_url,local_path,sha256,bytes,downloaded_at,source_last_modified,content_type,cache_status,verification_status
A.1,inegi_pibt_2026_q2,INEGI,"Producto Interno Bruto Trimestral (PIBT), series originales a precios constantes de 2018",2026-T2,2026-T2,AL_DIA,https://www.inegi.org.mx/programas/pib/,https://www.inegi.org.mx/contenidos/programas/pib/2018/tabulados/ori/PIBT_2.xlsx,data\raw\inegi_pibt_2026_q2\objects\65a7899d4106e94ddb0612919ea45f7ce356910693a6c74526994e3eb11a5dee\PIBT_2.xlsx,65a7899d4106e94ddb0612919ea45f7ce356910693a6c74526994e3eb11a5dee,1904922,2026-09-09T19:46:51+00:00,"Mon, 24 Aug 2026 12:00:09 GMT",application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2013_q2,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2013-T2,2013-T2,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2013trim2_csv.zip,data\raw\inegi_enoe_a2\2013trim2_csv.zip,09eabb5860d15b41a557665eef4595c8d715a2f21810358ff7fb6d2cd96ed20d,22309101,2026-08-31T22:23:33+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2013_q4,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2013-T4,2013-T4,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2013trim4_csv.zip,data\raw\inegi_enoe_a2\2013trim4_csv.zip,03ab1d021dbde5feea36ab0948ba3f35a64df095dc44563f1ae6da74a1c4a0e3,23582172,2026-08-31T22:23:33+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2014_q2,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2014-T2,2014-T2,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2014trim2_csv.zip,data\raw\inegi_enoe_a2\2014trim2_csv.zip,926c1715c868d409de594130d81bf9fbee8f1e93959c6b3959e99bf27d79e11f,22768706,2026-08-31T22:23:33+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2014_q4,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2014-T4,2014-T4,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2014trim4_csv.zip,data\raw\inegi_enoe_a2\2014trim4_csv.zip,8bb2e85bee8f8e3d52aa7b9ad3903cff6e28c8503d4c97656c3c0ec87d85f8ed,22725037,2026-08-31T22:23:34+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2015_q2,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2015-T2,2015-T2,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2015trim2_csv.zip,data\raw\inegi_enoe_a2\2015trim2_csv.zip,d2a70a2a452e617859da22db7fd2c78d8a0f841ec150b8f94cd08e221edf27ca,22782627,2026-08-31T22:23:34+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2015_q4,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2015-T4,2015-T4,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2015trim4_csv.zip,data\raw\inegi_enoe_a2\2015trim4_csv.zip,8bbf3dd5a2887c7b1e52e5afbf6fbc3c69b9090b84e5bc2b4b4fe754e2acd008,22782131,2026-08-31T22:23:35+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2016_q2,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2016-T2,2016-T2,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2016trim2_csv.zip,data\raw\inegi_enoe_a2\2016trim2_csv.zip,4aa9a8e2083378fa60aa965a2236bc81ca1a011c1a80cfb5907c462dc3f5a56f,26779138,2026-08-31T22:23:35+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2016_q4,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2016-T4,2016-T4,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2016trim4_csv.zip,data\raw\inegi_enoe_a2\2016trim4_csv.zip,f5846e8416dbbdb0a907b3f2321e9607083a269878657225fd3c82c708465500,26466686,2026-08-31T22:23:35+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2017_q2,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2017-T2,2017-T2,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2017trim2_csv.zip,data\raw\inegi_enoe_a2\2017trim2_csv.zip,bd58ed29a986e3f8b3642e6e6aa8ea7dbf7277116888cd60f799b562fd545066,27024159,2026-08-31T22:23:36+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2017_q4,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2017-T4,2017-T4,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2017trim4_csv.zip,data\raw\inegi_enoe_a2\2017trim4_csv.zip,af96a2420779c1cdf82b49bb7ddd5b489771bb791938db9b799da6f8b43d3be4,26664215,2026-08-31T22:23:36+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2018_q2,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2018-T2,2018-T2,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2018trim2_csv.zip,data\raw\inegi_enoe_a2\2018trim2_csv.zip,2ca4002f7209b029a470caa3174353a2766ca9fc1f4e1ea3c87a063d1218c00f,26835694,2026-08-31T22:23:37+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2018_q4,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2018-T4,2018-T4,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2018trim4_csv.zip,data\raw\inegi_enoe_a2\2018trim4_csv.zip,9259fcb81747ebfad7fbbd75b9dc9a65825142bc10366c447f645489b3383774,26724182,2026-08-31T22:23:37+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2019_q2,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2019-T2,2019-T2,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2019trim2_csv.zip,data\raw\inegi_enoe_a2\2019trim2_csv.zip,721bf45739241179cca3685c42e65a0270cbe02019602571ee79cc1a157a8d36,28592043,2026-08-31T22:23:38+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2019_q4,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2019-T4,2019-T4,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2019trim4_csv.zip,data\raw\inegi_enoe_a2\2019trim4_csv.zip,d91658be67f515a26f501fc130731e866b7c77c992ed91471217074f4f18ad58,28058037,2026-08-31T22:23:38+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
